0	98	52	
0	98	39	
4	91	95	
4	91	16	
5	56	7	
5	56	76	
8	39	38	
8	39	27	
9	97	80	
9	97	31	
9	49	76	
9	49	37	
10	69	0	
10	69	83	
14	71	45	
14	71	17	
14	87	16	
14	87	49	
20	44	6	
20	44	88	
20	2	9	
20	2	68	
20	93	78	
20	93	59	
21	77	40	
21	77	30	
22	28	35	
22	28	36	
23	41	32	
23	41	85	
24	33	54	
24	33	69	
28	46	83	
28	46	73	
28	49	86	
28	49	0	
30	2	22	
30	2	78	
31	2	98	
31	2	29	
33	52	65	
33	52	73	
34	2	9	
34	2	14	
36	77	86	
36	77	97	
36	97	9	
36	97	61	
36	40	41	
36	40	39	
37	14	36	
37	14	70	
39	80	76	
39	80	93	
39	15	71	
39	15	55	
40	11	78	
40	11	91	
48	66	42	
48	66	9	
49	28	36	
49	28	14	
50	75	77	
50	75	34	
53	51	4	
53	51	60	
54	2	45	
54	2	13	
55	74	29	
55	74	52	
56	3	34	
56	3	84	
59	2	92	
59	2	23	
59	15	18	
59	15	29	
60	34	40	
60	34	92	
61	86	65	
61	86	87	
61	57	40	
61	57	33	
64	66	19	
64	66	41	
64	32	55	
64	32	86	
66	35	66	
66	35	72	
72	58	74	
72	58	98	
73	20	59	
73	20	78	
74	89	23	
74	89	41	
75	33	69	
75	33	41	
76	12	59	
76	12	18	
76	2	33	
76	2	26	
77	57	0	
77	57	38	
77	86	61	
77	86	29	
77	11	42	
77	11	58	
78	20	30	
78	20	76	
83	66	8	
83	66	45	
85	58	80	
85	58	11	
90	2	98	
90	2	24	
90	13	60	
90	13	9	
91	62	5	
91	62	33	
95	44	46	
95	44	9	
97	8	35	
97	8	59	
99	50	85	
99	50	5	
100	38	83	
100	38	82	
101	44	40	
101	44	88	
103	87	99	
103	87	71	
104	76	9	
104	76	29	
106	6	39	
106	6	89	
107	2	87	
107	2	32	
108	2	44	
108	2	74	
109	87	41	
109	87	67	
109	97	37	
109	97	47	
113	33	37	
113	33	69	
115	2	57	
115	2	79	
115	23	81	
115	23	28	
119	93	5	
119	93	43	
123	2	51	
123	2	34	
127	11	99	
127	11	26	
130	83	42	
130	83	93	
135	2	82	
135	2	27	
135	11	83	
135	11	59	
136	8	33	
136	8	68	
136	2	34	
136	2	92	
138	2	33	
138	2	96	
139	2	58	
139	2	94	
141	75	64	
141	75	97	
141	0	54	
141	0	7	
142	64	65	
142	64	38	
143	98	66	
143	98	30	
143	51	59	
143	51	67	
144	58	54	
144	58	19	
145	77	25	
145	77	36	
149	11	53	
149	11	20	
150	71	13	
150	71	44	
150	51	50	
150	51	57	
151	81	54	
151	81	44	
152	33	87	
152	33	32	
154	11	20	
154	11	43	
155	47	13	
155	47	80	
155	39	41	
155	39	89	
158	56	39	
158	56	35	
160	92	44	
160	92	13	
161	2	35	
161	2	17	
162	57	69	
162	57	21	
165	90	31	
165	90	0	
166	93	40	
166	93	34	
168	77	90	
168	77	92	
168	2	72	
168	2	16	
169	33	19	
169	33	44	
172	81	24	
172	81	38	
173	2	58	
173	2	79	
173	24	94	
173	24	17	
175	62	3	
175	62	61	
176	19	97	
176	19	48	
176	75	31	
176	75	89	
176	29	26	
176	29	3	
178	32	86	
178	32	30	
180	92	50	
180	92	45	
182	2	46	
182	2	44	
183	98	78	
183	98	53	
184	2	23	
184	2	74	
184	5	39	
184	5	8	
186	93	85	
186	93	6	
186	2	31	
186	2	54	
191	16	20	
191	16	11	
194	93	10	
194	93	10	
195	13	12	
195	13	4	
196	88	20	
196	88	78	
196	26	54	
196	26	7	
199	69	67	
199	69	39	
201	97	33	
201	97	28	
201	87	23	
201	87	64	
204	33	50	
204	33	88	
205	14	48	
205	14	64	
207	45	38	
207	45	23	
207	90	15	
207	90	60	
208	84	53	
208	84	0	
210	80	94	
210	80	41	
210	82	62	
210	82	25	
212	97	65	
212	97	8	
212	72	94	
212	72	0	
214	2	8	
214	2	23	
214	42	53	
214	42	69	
214	91	22	
214	91	67	
215	94	90	
215	94	10	
216	23	41	
216	23	72	
218	57	50	
218	57	33	
220	25	65	
220	25	63	
221	47	82	
221	47	6	
224	69	4	
224	69	78	
228	18	31	
228	18	29	
230	33	27	
230	33	91	
233	5	98	
233	5	54	
235	11	31	
235	11	27	
240	2	31	
240	2	95	
240	2	83	
240	2	39	
241	72	83	
241	72	52	
243	2	26	
243	2	40	
243	33	42	
243	33	8	
247	68	82	
247	68	49	
251	23	15	
251	23	42	
251	13	32	
251	13	23	
251	11	42	
251	11	54	
252	93	98	
252	93	59	
255	2	76	
255	2	60	
255	14	35	
255	14	16	
257	5	85	
257	5	42	
257	83	44	
257	83	97	
258	33	92	
258	33	10	
259	82	56	
259	82	4	
259	2	15	
259	2	86	
261	8	6	
261	8	10	
263	78	74	
263	78	8	
263	18	38	
263	18	27	
264	14	33	
264	14	85	
267	64	31	
267	64	44	
268	70	0	
268	70	24	
268	12	36	
268	12	70	
270	62	69	
270	62	7	
271	20	32	
271	20	46	
272	2	24	
272	2	78	
277	57	88	
277	57	84	
277	23	56	
277	23	15	
279	88	20	
279	88	60	
282	16	6	
282	16	34	
283	87	27	
283	87	9	
285	19	91	
285	19	52	
288	93	27	
288	93	29	
290	33	67	
290	33	79	
291	2	77	
291	2	78	
292	23	69	
292	23	41	
293	13	51	
293	13	99	
297	60	13	
297	60	1	
302	33	50	
302	33	95	
303	88	9	
